0.00000000  0.13000376 0.12997694
0.01000000  0.13128486 0.12902125
0.02000000  0.13255735 0.12808579
0.03000000  0.13383618 0.12716724
0.04000000  0.13512741 0.12627209
0.05000000  0.13638122 0.12536379
0.06000000  0.13763077 0.12445257
0.07000000  0.13887554 0.12358367
0.08000000  0.14012025 0.12274415
0.09000000  0.14134851 0.12188578
0.10000000  0.14252078 0.12106518
0.11000000  0.14373593 0.12025272
0.12000000  0.14493577 0.11943714
0.13000000  0.14616064 0.11865939
0.14000000  0.14731954 0.11787265
0.15000000  0.14849030 0.11711250
0.16000000  0.14967503 0.11634922
0.17000000  0.15084276 0.11561727
0.18000000  0.15195431 0.11489754
0.19000000  0.15310434 0.11417139
0.20000000  0.15425349 0.11348947
0.21000000  0.15540695 0.11274176
0.22000000  0.15651536 0.11209134
0.23000000  0.15763644 0.11142239
0.24000000  0.15870620 0.11073998
0.25000000  0.15985199 0.11010101
0.26000000  0.16094941 0.10947242
0.27000000  0.16205387 0.10881104
0.28000000  0.16312214 0.10823292
0.29000000  0.16417907 0.10757483
0.30000000  0.16528026 0.10698872
0.31000000  0.16633450 0.10639241
0.32000000  0.16737013 0.10578774
0.33000000  0.16846518 0.10520196
0.34000000  0.16954265 0.10465093
0.35000000  0.17054727 0.10409341
0.36000000  0.17158519 0.10355516
0.37000000  0.17261731 0.10299434
0.38000000  0.17364494 0.10248054
0.39000000  0.17465420 0.10194268
0.40000000  0.17567920 0.10140841
0.41000000  0.17668420 0.10091285
0.42000000  0.17769516 0.10043349
0.43000000  0.17874561 0.09992498
0.44000000  0.17967287 0.09942586
0.45000000  0.18068089 0.09895485
0.46000000  0.18168818 0.09847820
0.47000000  0.18266389 0.09801383
0.48000000  0.18365718 0.09754844
0.49000000  0.18462541 0.09711074
0.50000000  0.18560336 0.09666350
0.51000000  0.18653977 0.09622409
0.52000000  0.18751624 0.09578247
0.53000000  0.18847007 0.09531978
0.54000000  0.18941965 0.09493057
0.55000000  0.19037111 0.09451979
0.56000000  0.19131264 0.09410472
0.57000000  0.19223393 0.09370214
0.58000000  0.19316908 0.09333025
0.59000000  0.19409170 0.09292706
0.60000000  0.19503645 0.09253072
0.61000000  0.19595799 0.09215603
0.62000000  0.19686296 0.09178341
0.63000000  0.19782531 0.09141545
0.64000000  0.19871305 0.09105687
0.65000000  0.19959826 0.09067478
0.66000000  0.20053753 0.09032787
0.67000000  0.20141085 0.08997496
0.68000000  0.20231321 0.08962566
0.69000000  0.20321049 0.08928164
0.70000000  0.20410516 0.08896671
0.71000000  0.20497587 0.08862362
0.72000000  0.20591320 0.08829751
0.73000000  0.20679543 0.08799379
0.74000000  0.20769763 0.08768024
0.75000000  0.20856505 0.08735857
0.76000000  0.20943465 0.08705425
0.77000000  0.21027674 0.08674645
0.78000000  0.21110048 0.08645356
0.79000000  0.21195770 0.08613553
0.80000000  0.21284872 0.08586117
0.81000000  0.21372637 0.08555030
0.82000000  0.21450311 0.08527109
0.83000000  0.21540103 0.08500159
0.84000000  0.21623630 0.08472445
0.85000000  0.21709669 0.08444287
0.86000000  0.21796409 0.08417771
0.87000000  0.21877784 0.08389100
0.88000000  0.21960826 0.08365586
0.89000000  0.22047613 0.08338093
0.90000000  0.22131125 0.08312470
0.91000000  0.22211255 0.08286362
0.92000000  0.22292481 0.08262408
0.93000000  0.22379297 0.08238165
0.94000000  0.22460517 0.08213608
0.95000000  0.22545252 0.08189010
0.96000000  0.22623519 0.08164328
0.97000000  0.22706937 0.08141193
0.98000000  0.22787350 0.08115636
0.99000000  0.22869541 0.08094956
1.00000000  0.22948711 0.08072990
1.01000000  0.23030787 0.08050833
1.02000000  0.23108159 0.08027562
1.03000000  0.23192346 0.08006038
1.04000000  0.23265105 0.07983872
1.05000000  0.23345521 0.07962586
1.06000000  0.23429734 0.07940861
1.07000000  0.23513128 0.07920365
1.08000000  0.23582286 0.07899172
1.09000000  0.23666675 0.07878507
1.10000000  0.23748467 0.07860308
1.11000000  0.23819583 0.07839055
1.12000000  0.23899932 0.07817385
1.13000000  0.23981615 0.07799355
1.14000000  0.24057473 0.07780757
1.15000000  0.24133738 0.07761438
1.16000000  0.24213514 0.07743988
1.17000000  0.24287495 0.07724202
1.18000000  0.24368408 0.07704098
1.19000000  0.24444260 0.07686363
1.20000000  0.24523748 0.07669529
1.21000000  0.24595016 0.07651903
1.22000000  0.24676235 0.07633970
1.23000000  0.24749832 0.07616712
1.24000000  0.24826496 0.07598196
1.25000000  0.24905270 0.07580635
1.26000000  0.24977206 0.07564164
1.27000000  0.25049688 0.07548008
1.28000000  0.25128778 0.07530185
1.29000000  0.25201583 0.07514139
1.30000000  0.25280745 0.07498888
1.31000000  0.25352086 0.07481168
1.32000000  0.25429102 0.07466068
1.33000000  0.25502114 0.07451575
1.34000000  0.25576591 0.07435085
1.35000000  0.25652519 0.07419973
1.36000000  0.25722824 0.07403767
1.37000000  0.25798016 0.07389897
1.38000000  0.25874833 0.07374490
1.39000000  0.25948525 0.07358717
1.40000000  0.26026869 0.07345407
1.41000000  0.26094412 0.07329690
1.42000000  0.26169651 0.07314394
1.43000000  0.26241688 0.07302107
1.44000000  0.26316465 0.07286865
1.45000000  0.26387015 0.07273271
1.46000000  0.26459123 0.07258785
1.47000000  0.26532155 0.07244095
1.48000000  0.26601580 0.07231247
1.49000000  0.26675426 0.07217911
1.50000000  0.26748853 0.07204327
1.51000000  0.26821691 0.07191210
1.52000000  0.26893409 0.07177824
1.53000000  0.26964333 0.07165700
1.54000000  0.27037204 0.07153500
1.55000000  0.27110779 0.07138691
1.56000000  0.27177506 0.07127081
1.57000000  0.27252208 0.07114029
1.58000000  0.27320964 0.07100072
1.59000000  0.27397513 0.07088145
1.60000000  0.27467905 0.07076382
1.61000000  0.27535124 0.07065309
1.62000000  0.27605016 0.07051698
1.63000000  0.27674135 0.07041228
1.64000000  0.27746740 0.07028224
1.65000000  0.27807596 0.07017042
1.66000000  0.27886696 0.07005359
1.67000000  0.27950825 0.06994792
1.68000000  0.28027771 0.06982973
1.69000000  0.28094019 0.06970694
1.70000000  0.28164581 0.06959419
1.71000000  0.28226280 0.06947487
1.72000000  0.28301403 0.06935423
1.73000000  0.28373223 0.06924732
1.74000000  0.28439151 0.06914585
1.75000000  0.28513399 0.06903101
1.76000000  0.28573772 0.06892784
1.77000000  0.28648914 0.06881826
1.78000000  0.28714968 0.06871565
1.79000000  0.28783664 0.06860542
1.80000000  0.28851338 0.06850797
1.81000000  0.28927048 0.06840336
1.82000000  0.28991845 0.06830229
1.83000000  0.29057714 0.06819442
1.84000000  0.29127168 0.06809572
1.85000000  0.29197813 0.06799388
1.86000000  0.29262675 0.06788151
1.87000000  0.29329449 0.06779425
1.88000000  0.29401580 0.06768311
1.89000000  0.29469857 0.06757654
1.90000000  0.29533239 0.06749139
1.91000000  0.29602498 0.06741003
1.92000000  0.29670145 0.06731008
1.93000000  0.29730106 0.06720299
1.94000000  0.29800476 0.06711163
1.95000000  0.29869800 0.06702461
1.96000000  0.29938776 0.06692837
1.97000000  0.30007061 0.06682979
1.98000000  0.30072741 0.06673233
1.99000000  0.30144802 0.06665262
2.00000000  0.30204294 0.06656547
2.01000000  0.30272110 0.06645634
2.02000000  0.30337532 0.06636749
2.03000000  0.30402519 0.06628396
2.04000000  0.30473771 0.06620534
2.05000000  0.30536588 0.06611734
2.06000000  0.30604447 0.06601522
2.07000000  0.30665262 0.06593476
2.08000000  0.30731239 0.06585239
2.09000000  0.30793990 0.06576356
2.10000000  0.30857596 0.06567831
2.11000000  0.30925432 0.06558741
2.12000000  0.30994032 0.06550622
