0.00000000  0.00000000 0.12251318
0.01000000  0.00121360 0.11909374
0.02000000  0.00238800 0.11742488
0.03000000  0.00352921 0.11604762
0.04000000  0.00472893 0.11625509
0.05000000  0.00584686 0.11412962
0.06000000  0.00696622 0.11312179
0.07000000  0.00808141 0.10944102
0.08000000  0.00930445 0.11238452
0.09000000  0.01041130 0.11002114
0.10000000  0.01160913 0.11001422
0.11000000  0.01239302 0.10892855
0.12000000  0.01343693 0.10788161
0.13000000  0.01462797 0.10512839
0.14000000  0.01550592 0.10538519
0.15000000  0.01705621 0.10536277
0.16000000  0.01791461 0.10088165
0.17000000  0.01890781 0.10446253
0.18000000  0.01978363 0.10260000
0.19000000  0.02115620 0.10062784
0.20000000  0.02211001 0.09979459
0.21000000  0.02299853 0.09914896
0.22000000  0.02378789 0.09892031
0.23000000  0.02447313 0.09774330
0.24000000  0.02589528 0.09584965
0.25000000  0.02647840 0.09492214
0.26000000  0.02818716 0.09535136
0.27000000  0.02844468 0.09585505
0.28000000  0.02963056 0.09590621
0.29000000  0.03069979 0.09484817
0.30000000  0.03179459 0.09440068
0.31000000  0.03231967 0.09267261
0.32000000  0.03389605 0.09218468
0.33000000  0.03459789 0.09162564
0.34000000  0.03433086 0.08999799
0.35000000  0.03611381 0.08906216
0.36000000  0.03663691 0.08841979
0.37000000  0.03821423 0.08927297
0.38000000  0.03850390 0.08877807
0.39000000  0.03989506 0.08880629
0.40000000  0.04164076 0.08932357
0.41000000  0.04051130 0.08738569
0.42000000  0.04274900 0.08532865
0.43000000  0.04272984 0.08689009
0.44000000  0.04461445 0.08451028
0.45000000  0.04533282 0.08518859
0.46000000  0.04633616 0.08551838
0.47000000  0.04754641 0.08447095
0.48000000  0.04697631 0.08554299
0.49000000  0.04823484 0.08549946
0.50000000  0.04846001 0.08443265
0.51000000  0.05071506 0.08351498
0.52000000  0.05085177 0.08465625
0.53000000  0.05155638 0.08392321
0.54000000  0.05302911 0.08277825
0.55000000  0.05444125 0.08142628
0.56000000  0.05387745 0.08190356
0.57000000  0.05512074 0.08227960
0.58000000  0.05534336 0.08236162
0.59000000  0.05669387 0.08048256
0.60000000  0.05723891 0.08091595
0.61000000  0.05767537 0.08005636
0.62000000  0.05846977 0.07974595
0.63000000  0.05956536 0.07921954
0.64000000  0.06117380 0.08088008
0.65000000  0.06099394 0.07952211
0.66000000  0.06374145 0.08112191
0.67000000  0.06363522 0.08028686
0.68000000  0.06398396 0.07930765
0.69000000  0.06460805 0.07921210
0.70000000  0.06487931 0.07900648
0.71000000  0.06503375 0.07906465
0.72000000  0.06718313 0.08050276
0.73000000  0.06766568 0.07802138
0.74000000  0.06957444 0.08038696
0.75000000  0.06897904 0.07968853
0.76000000  0.07076052 0.07816962
0.77000000  0.07158435 0.07945502
0.78000000  0.07138461 0.07808777
0.79000000  0.07236560 0.07834759
0.80000000  0.07285244 0.07870688
0.81000000  0.07479489 0.07726434
0.82000000  0.07489307 0.07777036
0.83000000  0.07505727 0.07736398
0.84000000  0.07523332 0.07819678
0.85000000  0.07674262 0.07787490
0.86000000  0.07732109 0.07820992
0.87000000  0.07825611 0.07810230
0.88000000  0.07923848 0.07886572
0.89000000  0.07833243 0.07829586
0.90000000  0.08061273 0.07818537
0.91000000  0.08178651 0.07831764
0.92000000  0.08321302 0.07820743
0.93000000  0.08363937 0.07771782
0.94000000  0.08446069 0.07774125
0.95000000  0.08414281 0.07863403
0.96000000  0.08593729 0.07976203
0.97000000  0.08683816 0.07903422
0.98000000  0.08833804 0.08068331
0.99000000  0.08836882 0.07915385
1.00000000  0.08921500 0.08024126
1.01000000  0.09011279 0.07883666
1.02000000  0.09170602 0.08082364
1.03000000  0.09393791 0.07910417
1.04000000  0.09242142 0.07974095
1.05000000  0.09531372 0.07981827
1.06000000  0.09311609 0.08004324
1.07000000  0.09377876 0.08077218
1.08000000  0.09628320 0.08176755
1.09000000  0.09526867 0.08074428
1.10000000  0.09571092 0.08095548
1.11000000  0.09734642 0.07993598
1.12000000  0.09824986 0.08138906
1.13000000  0.09874875 0.08082637
1.14000000  0.10185496 0.08025355
1.15000000  0.10093358 0.08239138
1.16000000  0.10213752 0.08173345
1.17000000  0.10240718 0.08273337
1.18000000  0.10195470 0.08311621
1.19000000  0.10473069 0.08331381
1.20000000  0.10334229 0.08505043
1.21000000  0.10509309 0.08306631
1.22000000  0.10651611 0.08224130
1.23000000  0.10752841 0.08363663
1.24000000  0.11044033 0.08397738
1.25000000  0.11115247 0.08377494
1.26000000  0.10999142 0.08623943
1.27000000  0.10880734 0.08379675
1.28000000  0.11075431 0.08504316
1.29000000  0.11271769 0.08636371
1.30000000  0.11124834 0.08521822
1.31000000  0.11392354 0.08529147
1.32000000  0.11592773 0.08612502
1.33000000  0.11630919 0.08607830
1.34000000  0.11684932 0.08798824
1.35000000  0.11602189 0.08675733
1.36000000  0.11803182 0.08696708
1.37000000  0.11911625 0.08762822
1.38000000  0.11967216 0.08825989
1.39000000  0.12284031 0.08834226
1.40000000  0.12329690 0.08857365
1.41000000  0.12570246 0.08904216
1.42000000  0.12122431 0.09002920
1.43000000  0.12314764 0.09047830
1.44000000  0.12789486 0.09042894
1.45000000  0.12428400 0.09183962
1.46000000  0.12876739 0.09203291
1.47000000  0.12949993 0.09158949
1.48000000  0.13045814 0.09126944
1.49000000  0.13149253 0.09280975
1.50000000  0.13066384 0.09258363
1.51000000  0.13139461 0.09312978
1.52000000  0.13373855 0.09383435
1.53000000  0.13488458 0.09331273
1.54000000  0.13522222 0.09612280
